Terminación,Palabra,,,,
ar,agar,,,,
ar,ajuar,,,,
ar,alar,,,,
ar,albañar,,,,
ar,albar,,,,
ar,alfar,,,,
ar,alizar,,,,
ar,almiar,,,,
ar,almimbar,,,,
ar,alminar,,,,
ar,altar,,,,
ar,alveolar,,,,
ar,antealtar,,,,
ar,antisolar,,,,
ar,ar,,,,
ar,auricular,,,,
ar,avatar,,,,
ar,axilar,,,,
ar,azahar,,,,
ar,azar,,,,
ar,bacillar,,,,
ar,bar,,,,
ar,bazar,,,,
ar,bicelular,,,,
ar,bienestar,,,,
ar,bifilar,,,,
ar,biliar,,,,
ar,billar,,,,
ar,binocular,,,,
ar,bipolar,,,,
ar,broncopulmonar,,,,
ar,bulevar,,,,
ar,calamar,,,,
ar,calcañar,,,,
ar,capilar,,,,
ar,capsular,,,,
ar,caviar,,,,
ar,celular,,,,
ar,centenar,,,,
ar,ciliar,,,,
ar,clavicular,,,,
ar,collar,,,,
ar,consular,,,,
ar,coplanar,,,,
ar,crepuscular,,,,
ar,corpuscular,,,,
ar,cuadrangular,,,,
ar,cular,,,,
ar,curricular,,,,
ar,dactilar,,,,
ar,dinar,,,,
ar,dispar,,,,
ar,ejemplar,,,,
ar,escolar,,,,
ar,espectacular,,,,
ar,estelar,,,,
ar,extracurricular,,,,
ar,familiar,,,,
ar,fular,,,,
ar,globular,,,,
ar,hangar,,,,
ar,hogar,,,,
ar,ijar,,,,
ar,impar,,,,
ar,insular,,,,
ar,intercelular,,,,
ar,intraocular,,,,
ar,jaguar,,,,
ar,juglar,,,,
ar,lagar,,,,
ar,lanar,,,,
ar,lar,,,,
ar,limonar,,,,
ar,llar,,,,
ar,lobular,,,,
ar,lodazar,,,,
ar,lugar,,,,
ar,lunar,,,,
ar,malar,,,,
ar,maleolar,,,,
ar,malvar,,,,
ar,mandibular,,,,
ar,manglar,,,,
ar,manillar,,,,
ar,manjar,,,,
ar,mar,,,,
ar,maxilar,,,,
ar,melocotonar,,,,
ar,melonar,,,,
ar,membrillar,,,,
ar,miliar,,,,
ar,militar,,,,
ar,millar,,,,
ar,molar,,,,
ar,mollar,,,,
ar,muladar,,,,
ar,monocelular,,,,
ar,mular,,,,
ar,muscular,,,,
ar,nuclear,,,,
ar,ocular,,,,
ar,olivar,,,,
ar,pajar,,,,
ar,paladar,,,,
ar,palatar,,,,
ar,palomar,,,,
ar,papilar,,,,
ar,par,,,,
ar,paramilitar,,,,
ar,particular,,,,
ar,peculiar,,,,
ar,pendular,,,,
ar,peninsular,,,,
ar,perpendicular,,,,
ar,pilar,,,,
ar,pinar,,,,
ar,planar,,,,
ar,polar,,,,
ar,policelular,,,,
ar,pulgar,,,,
ar,pulmonar,,,,
ar,quasar,,,,
ar,radar,,,,
ar,radicular,,,,
ar,rectangular,,,,
ar,reticular,,,,
ar,samovar,,,,
ar,secular,,,,
ar,seglar,,,,
ar,semicircular,,,,
ar,semilunar,,,,
ar,similar,,,,
ar,solar,,,,
ar,subcelular,,,,
ar,supraclavicular,,,,
ar,supralunar,,,,
ar,telar,,,,
ar,testicular,,,,
ar,tisular,,,,
ar,trifilar,,,,
ar,trufar,,,,
ar,tubular,,,,
ar,tular,,,,
ar,ultramar,,,,
ar,uvular,,,,
ar,vascular,,,,
ar,vehicular,,,,
ar,vermicular,,,,
ar,vesicular,,,,
ar,vulgar,,,,
ar,yugular,,,,
ar,zar,,,,
er,alfiler,,,,
er,alquiler,,,,
er,amater,,,,
er,anteayer,,,,
er,antier,,,,
er,atelier,,,,
er,ayer,,,,
er,bachiller,,,,
er,bereber,,,,
er,brigadier,,,,
er,canciller,,,,
er,cualquier,,,,
er,doquier,,,,
er,dossier,,,,
er,enser,,,,
er,ester,,,,
er,menester,,,,
er,mercader,,,,
er,micer,,,,
er,neceser,,,,
er,palier,,,,
er,placer,,,,
er,plumier,,,,
er,premier,,,,
er,primer,,,,
er,rosicler,,,,
er,salmer,,,,
er,somier,,,,
er,sumiller,,,,
er,taller,,,,
er,tercer,,,,
er,veguer,,,,
ir,cachemir,,,,
ir,casimir,,,,
ir,elixir,,,,
ir,emir,,,,
ir,faquir,,,,
ir,kefir,,,,
ir,menhir,,,,
ir,nadir,,,,
ir,porvenir,,,,
ir,sir,,,,
ir,souvenir,,,,
ir,visir,,,,
ir,zafir,,,,
